0	???	Unknown	0	0	0	0
166	17NetworksRHContAIPS2	17Networks_RH_ContA_IPS_2	234	147	36	255
167	17NetworksRHContAPFCd1	17Networks_RH_ContA_PFCd_1	234	147	34	255
168	17NetworksRHContAPFCl1	17Networks_RH_ContA_PFCl_1	233	148	35	255
169	17NetworksRHContAPFCl2	17Networks_RH_ContA_PFCl_2	233	148	36	255
170	17NetworksRHContACinga1	17Networks_RH_ContA_Cinga_1	233	148	34	255
171	17NetworksRHContBTemp1	17Networks_RH_ContB_Temp_1	140	51	76	255
172	17NetworksRHContBTemp2	17Networks_RH_ContB_Temp_2	140	51	77	255
173	17NetworksRHContBIPL1	17Networks_RH_ContB_IPL_1	139	50	74	255
174	17NetworksRHContBIPL2	17Networks_RH_ContB_IPL_2	139	50	75	255
175	17NetworksRHContBPFCld1	17Networks_RH_ContB_PFCld_1	139	49	75	255
176	17NetworksRHContBPFCld2	17Networks_RH_ContB_PFCld_2	139	49	76	255
177	17NetworksRHContBPFClv1	17Networks_RH_ContB_PFClv_1	139	49	74	255
178	17NetworksRHContBPFClv2	17Networks_RH_ContB_PFClv_2	139	49	77	255
179	17NetworksRHContBPFCmp1	17Networks_RH_ContB_PFCmp_1	138	50	75	255
180	17NetworksRHContBPFCmp2	17Networks_RH_ContB_PFCmp_2	138	50	76	255
181	17NetworksRHContCpCun1	17Networks_RH_ContC_pCun_1	123	141	177	255
182	17NetworksRHContCpCun2	17Networks_RH_ContC_pCun_2	123	141	178	255
183	17NetworksRHContCCingp1	17Networks_RH_ContC_Cingp_1	123	141	179	255
184	17NetworksRHDefaultAIPL1	17Networks_RH_DefaultA_IPL_1	251	254	2	255
185	17NetworksRHDefaultAPFCd1	17Networks_RH_DefaultA_PFCd_1	251	255	3	255
186	17NetworksRHDefaultAPCC1	17Networks_RH_DefaultA_PCC_1	251	253	1	255
187	17NetworksRHDefaultAPFCm1	17Networks_RH_DefaultA_PFCm_1	249	255	1	255
188	17NetworksRHDefaultAPFCm2	17Networks_RH_DefaultA_PFCm_2	249	255	2	255
189	17NetworksRHDefaultAPFCm3	17Networks_RH_DefaultA_PFCm_3	249	255	3	255
190	17NetworksRHDefaultBTemp1	17Networks_RH_DefaultB_Temp_1	210	62	80	255
191	17NetworksRHDefaultBAntTemp1	17Networks_RH_DefaultB_AntTemp_1	210	63	79	255
192	17NetworksRHDefaultBPFCd1	17Networks_RH_DefaultB_PFCd_1	210	63	80	255
193	17NetworksRHDefaultBPFCv1	17Networks_RH_DefaultB_PFCv_1	209	62	78	255
194	17NetworksRHDefaultCIPL1	17Networks_RH_DefaultC_IPL_1	4	1	132	255
195	17NetworksRHDefaultCRsp1	17Networks_RH_DefaultC_Rsp_1	5	0	131	255
196	17NetworksRHDefaultCPHC1	17Networks_RH_DefaultC_PHC_1	5	0	132	255
197	17NetworksRHTempPar1	17Networks_RH_TempPar_1	16	48	255	255
198	17NetworksRHTempPar2	17Networks_RH_TempPar_2	13	41	250	255
199	17NetworksRHTempPar3	17Networks_RH_TempPar_3	13	41	251	255
200	17NetworksRHTempPar4	17Networks_RH_TempPar_4	13	41	252	255
